epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,358.608,0.41575,0.62672,0.51809,0.97956,0.80489,0.88889,0.90861,0.30107,0.87064,0.96156,0.9541,0.47279,1.44503,0.97366,1.94934,1.71546,0.00154029,0.00154029,0.00154029
86,363.27,0.40748,0.53249,0.55282,1.00522,0.69866,0.92003,0.87577,0.41157,0.78024,0.85714,0.91463,0.49668,1.04428,1.27434,1.53303,1.35122,0.00155695,0.00155695,0.00155695
87,367.526,0.4413,0.64834,0.56232,1.03767,0.90607,0.93651,0.97451,0.55258,0.90607,0.93651,0.97451,0.48226,0.78281,2.31491,1.27888,1.00072,0.00157356,0.00157356,0.00157356
88,372.089,0.42174,0.60003,0.47356,0.98282,0.85835,0.95238,0.96901,0.54772,0.85835,0.95238,0.96901,0.67126,0.9063,1.57176,1.37436,1.14352,0.00159013,0.00159013,0.00159013
89,376.591,0.47924,0.69848,0.54765,1.05902,0.97958,0.92063,0.98252,0.87069,0.97958,0.92063,0.98252,0.78114,0.59936,1.26098,1.19659,0.90452,0.00160667,0.00160667,0.00160667
90,381.02,0.40833,0.61788,0.47774,1.01564,0.85046,0.85714,0.93865,0.83144,0.85046,0.85714,0.93865,0.73755,0.4892,1.35952,1.19713,0.82629,0.00162316,0.00162316,0.00162316
91,385.574,0.37026,0.58343,0.4696,0.99297,0.6261,0.85714,0.73954,0.49138,0.6261,0.85714,0.73954,0.46113,0.65711,1.3182,2.22532,0.95357,0.00163962,0.00163962,0.00163962
92,390.203,0.41688,0.54964,0.48868,0.97585,0.63237,0.71429,0.77775,0.62937,0.63237,0.71429,0.77775,0.61603,0.47652,0.73403,1.72121,0.79561,0.00165604,0.00165604,0.00165604
93,394.999,0.41848,0.68184,0.51814,1.0267,0.75832,0.94636,0.93049,0.83754,0.75832,0.94636,0.93049,0.71776,0.41324,0.86708,1.14489,0.76245,0.00167241,0.00167241,0.00167241
94,399.781,0.45342,0.63657,0.53021,1.05361,0.99744,1,0.995,0.85378,0.99744,1,0.995,0.4744,0.39678,4.02873,0.84896,0.76795,0.00168875,0.00168875,0.00168875
